"","time"
"1",0.1973684
"2",0.2960526
"3",0.3618421
"4",0.3947368
"5",0.4605263
"6",0.4934211
"7",0.5592105
"8",0.625
"9",0.7565789
"10",0.7894737
"11",0.8552632
"12",0.9210526
"13",1.0197368
"14",1.0526316
"15",1.0855263
"16",1.1513158
"17",1.1842105
"18",1.2171053
"19",1.25
"20",1.3157895
"21",1.3815789
"22",1.4144737
"23",1.4473684
"24",1.4802632
"25",1.5131579
"26",1.5460526
"27",1.5789474
"28",1.6118421
"29",1.6447368
"30",1.6776316
"31",1.7105263
"32",1.7763158
"33",1.8092105
"34",1.8421053
"35",1.9078947
"36",1.9407895
"37",1.9736842
"38",2.0065789
"39",2.0723684
"40",2.1052632
"41",2.1381579
"42",2.2039474
"43",2.2368421
"44",2.2697368
"45",2.3026316
"46",2.3355263
"47",2.3684211
"48",2.4013158
"49",2.4342105
"50",2.4671053
"51",2.5
"52",2.5328947
"53",2.5657895
"54",2.6644737
"55",2.6973684
"56",2.7302632
"57",2.7631579
"58",2.7960526
"59",2.8618421
"60",2.8947368
"61",2.9276316
"62",2.9605263
"63",2.9934211
"64",3.0263158
"65",3.0921053
"66",3.1907895
"67",3.2894737
"68",3.4539474
"69",3.5855263
"70",3.75
"71",3.9473684
"72",3.9802632
"73",4.1118421
"74",4.1447368
"75",4.4407895
"76",4.4736842
"77",4.5065789
"78",4.6381579
"79",4.7039474
"80",4.9013158
"81",5.0657895
"82",5.2302632
"83",5.4605263
"84",5.4934211
"85",5.5921053
"86",5.6578947
"87",5.7565789
"88",5.7894737
"89",5.8223684
"90",6.2171053
"91",6.2828947
"92",6.4473684
"93",6.4802632
"94",6.6776316
"95",6.7105263
"96",6.8421053
"97",6.9407895
"98",7.0394737
"99",7.5328947
"100",7.6315789
"101",7.8289474
"102",8.3223684
"103",8.8486842
"104",9.6381579
"105",10.3289474
"106",10.9539474
"107",12.3026316
"108",13.4539474
"109",14.0460526
"110",14.8684211
"111",18.6184211
"112",22.8289474
"113",48.6184211
