"","AVG","non_nul"
"Nbre.de.site.metastatique_dg",0.151087649166561,74.2
"Age_L3",-0.000534545324398229,47
"Sexe",0.1488166475406,72.8
"Resection.primitif",-0.304920164162347,92.1
"Protocole_L1groupebis",-0.0723872664142982,40.3
"Epuisement.therap",0.329780657672905,90.9
"OMS_L3.regroupe",0.410686292376988,98.4
"Carcinose_L3",0.195032745959136,76.1
"Meta.pulm_L3",0.103610286430243,64.5
"Meta.hep_L3_isolée",-0.0578410463831493,50
"Meta.hep_L3_non",-0.146056409900843,72.4
"log_SSP1",0.006670922214131,52.3
"log_SSP2",-0.431767011145544,100
